report_year,Population,Violent,Homicides,Rapes,Assaults,Robberies,Total_CrimeRate,Homicides_Rate,Rapes Rate,Assaults_Rate,Robberies_Rate
2012,632323,7448,88,236,3399,3725,1177.9,13.9,37.3,537.5,589.1
2012,386409,2896,23,242,2135,496,749.5,6.0,62.6,552.5,128.4
2013,558165,4325,37,439,2803,1046,774.9,6.6,78.7,502.2,187.4
2013,378765,1837,18,105,1152,562,485.0,4.8,27.7,304.2,148.4
2013,451020,5516,83,105,2965,2363,1223.0,18.4,23.3,657.4,523.9
2013,343484,1429,20,224,716,469,416.0,5.8,65.2,208.5,136.5
2013,859180,3123,26,217,2117,763,363.5,3.0,25.3,246.4,88.8
2013,822814,4184,20,124,2530,1510,508.5,2.4,15.1,307.5,183.5
2013,622671,8725,233,298,4460,3734,1401.2,37.4,47.9,716.3,599.7
2013,643799,5037,39,279,2851,1868,782.4,6.1,43.3,442.8,290.2
2013,258789,3249,47,145,1735,1322,1255.5,18.2,56.0,670.4,510.8
2013,837638,5093,59,230,2999,1805,608.0,7.0,27.5,358.0,215.5
2013,2720554,25688,416,1338,12108,11826,944.2,15.3,49.2,445.1,434.7
2013,296491,2858,70,218,958,1612,963.9,23.6,73.5,323.1,543.7
2013,389181,5782,58,436,1792,3496,1485.7,14.9,112.0,460.5,898.3
2013,816364,4446,78,692,1213,2463,544.6,9.6,84.8,148.6,301.7
2013,1255015,8330,143,543,3442,4202,663.7,11.4,43.3,274.3,334.8
2013,648981,4093,41,519,2400,1133,630.7,6.3,80.0,369.8,174.6
2013,699889,14501,316,613,8801,4771,2071.9,45.2,87.6,1257.5,681.7
2013,679700,2522,10,176,1879,457,371.1,1.5,25.9,276.5,67.2
2013,1091221,1005,12,172,412,409,92.1,1.1,15.8,37.8,37.5
2013,789035,4440,49,532,2602,1257,562.7,6.2,67.4,329.8,159.3
2013,508876,2552,40,53,1556,903,501.5,7.9,10.4,305.8,177.5
2013,984683,2276,18,221,1294,743,231.1,1.8,22.4,131.4,75.5
2013,2180606,20993,214,618,10270,9891,962.7,9.8,28.3,471.0,453.6
2013,850220,10479,129,656,5894,3800,1232.5,15.2,77.2,693.2,446.9
2013,845745,5246,93,452,3277,1424,620.3,11.0,53.4,387.5,168.4
