report_year,Population,Violent,Homicides,Rapes,Assaults,Robberies,Total_CrimeRate,Homicides_Rate,Rapes Rate,Assaults_Rate,Robberies_Rate
1992,1044128,26447,595,1225,12433,12194,2532.9,57,117.3,1190.8,1167.9
1992,535655,5826,44,272,3900,1610,1087.6,8.2,50.8,728.1,300.6
1992,811733,1060,18,152,417,473,130.6,2.2,18.7,51.4,58.3
1992,465262,9392,153,525,5226,3488,2018.7,32.9,112.8,1123.2,749.7
1992,367376,5363,81,203,1985,3094,1459.8,22.1,55.3,540.3,842.2
1992,875297,2382,31,326,1012,1013,272.1,3.5,37.2,115.6,115.7
1992,1695239,24837,465,1169,12073,11130,1465.1,27.4,69,712.2,656.5
1992,493928,6814,88,541,4028,2157,1379.6,17.8,109.5,815.5,436.7
1992,663899,11548,123,713,7098,3614,1739.4,18.5,107.4,1069.1,544.4
1992,441162,12594,150,564,7386,4494,2854.7,34,127.8,1674.2,1018.7
1992,678385,6027,99,393,1926,3609,888.4,14.6,57.9,283.9,532
1992,445405,6925,104,218,3020,3583,1554.8,23.4,48.9,678,804.4
1992,922758,18730,228,359,12672,5471,2029.8,24.7,38.9,1373.3,592.9
1992,3615355,88919,1094,1872,46445,39508,2459.5,30.3,51.8,1284.7,1092.8
1992,628865,9764,176,688,3559,5341,1552.6,28,109.4,565.9,849.3
1992,301200,2054,9,119,1631,295,681.9,3,39.5,541.5,97.9
1992,1080971,18949,162,649,10650,7488,1753,15,60,985.2,692.7
1992,373791,13945,128,272,6480,7065,3730.7,34.2,72.8,1733.6,1890.1
1992,643017,6332,146,523,1329,4334,984.7,22.7,81.3,206.7,674
1992,377345,6199,60,600,2464,3075,1642.8,15.9,159,653,814.9
1992,764539,2328,21,184,1193,930,304.5,2.8,24.1,156,121.6
1992,514771,8382,90,498,5126,2668,1628.3,17.5,96.7,995.8,518.3
1992,1017134,2360,18,73,888,1381,232,1.8,7.2,87.3,135.8
1992,505008,10007,279,287,4100,5341,1981.6,55.3,56.8,811.9,1057.6
1992,7375097,159578,1995,2815,63529,91239,2163.7,27.1,38.2,861.4,1237.1
1992,277544,9715,87,313,3926,5389,3500.4,31.4,112.8,1414.6,1941.7
1992,386086,10140,165,418,4947,4610,2626.4,42.7,108.3,1281.3,1194
1992,454255,6358,61,472,3989,1836,1399.7,13.4,103.9,878.1,404.2
1992,341753,2207,11,166,1630,400,645.8,3.2,48.6,477,117
1992,171694,3232,13,140,2271,808,1882.4,7.6,81.5,1322.7,470.6
1992,1603638,19103,425,817,6180,11681,1191.2,26.5,51,385.4,728.4
1992,999900,10907,136,476,7155,3140,1090.8,13.6,47.6,715.6,314
1992,373842,4495,44,221,1241,2989,1202.4,11.8,59.1,332,799.5
1992,458132,8389,46,490,5167,2686,1831.1,10,107,1127.8,586.3
1992,629853,7265,126,409,3420,3310,1153.4,20,64.9,543,525.5
1992,214674,2171,19,120,1145,887,1011.3,8.9,55.9,533.4,413.2
1992,383102,4674,45,237,2070,2322,1220,11.8,61.9,540.3,606.1
1992,168304,1317,14,187,646,470,782.5,8.3,111.1,383.8,279.3
1992,972824,7131,219,616,2811,3485,733,22.5,63.3,289,358.2
1992,1151853,14792,146,485,8840,5321,1284.2,12.7,42.1,767.5,462
1992,750885,13676,117,395,4886,8278,1821.3,15.6,52.6,650.7,1102.4
1992,811342,5427,43,448,3705,1231,668.9,5.3,55.2,456.7,151.7
1992,544940,7327,60,353,4337,2577,1344.6,11,64.8,795.9,472.9
1992,402573,13247,231,349,7731,4936,3290.6,57.4,86.7,1920.4,1226.1
1992,1198473,3472,49,75,1575,1773,289.7,4.1,6.3,131.4,147.9
1992,291920,9864,49,303,6513,2999,3379,16.8,103.8,2231.1,1027.3
1992,423836,4327,42,386,2929,970,1020.9,9.9,91.1,691.1,228.9
1992,375053,5008,33,368,3263,1344,1335.3,8.8,98.1,870,358.4
1992,405116,1155,23,153,367,612,285.1,5.7,37.8,90.6,151.1
1992,589000,16680,443,215,8566,7456,2831.9,75.2,36.5,1454.3,1265.9
1992,309955,2754,29,255,1130,1340,888.5,9.4,82.3,364.6,432.3
